MLfunction,Conv,Nb_train,PredictionExacte,Distance,Prediction+1,Prediction+2
RandomTree,MobilNet_04,20,8.442982456140350,3133,19.736842105263200,34.53947368421050
RandomTree,MobilNet_04,50,25.109649122807000,1381,63.70614035087720,81.14035087719300
RandomTree,MobilNet_04,100,18.969298245614000,1376,55.26315789473690,82.67543859649120
RandomTree,MobilNet_04,150,27.192982456140400,1354,62.39035087719300,79.93421052631580
RandomTree,MobilNet_04,200,33.33333333333330,1233,65.13157894736840,81.14035087719300
RandomTree,MobilNet_04,350,35.74561403508770,1060,68.53070175438600,86.29385964912280
RandomTree,MobilNet_04,500,32.01754385964910,1141,73.57456140350880,88.26754385964910
J48,MobilNet_05,20,26.644219977553300,6014,64.60157126823790,85.02805836139170
J48,MobilNet_05,50,31.200897867564500,5605,65.97081930415260,86.5993265993266
J48,MobilNet_05,100,36.67789001122340,4711,72.65993265993270,89.58473625140290
J48,MobilNet_05,150,40.13468013468010,4514,75.64534231200900,90.9090909090909
J48,MobilNet_05,200,39.5959595959596,4589,73.93939393939390,89.58473625140290
J48,MobilNet_05,350,46.95847362514030,4238,75.89225589225590,90.48260381593710
J48,MobilNet_05,500,47.67676767676770,4230,76.81257014590350,90.28058361391700
J48,MobilNet_05,1000,55.19640852974190,3430,81.14478114478120,92.45791245791250
J48,MobilNet_05,1500,60.60606060606060,2894,84.2648709315376,94.006734006734
RandomForest,MobilNet_05,20,18.02469135802470,9054,46.621773288440000,66.82379349046020
RandomForest,MobilNet_05,50,24.062850729517400,5738,67.85634118967450,86.12794612794610
RandomForest,MobilNet_05,100,29.6969696969697,5378,69.60718294051630,87.54208754208750
RandomForest,MobilNet_05,150,35.10662177328840,4932,73.69248035914700,88.50729517396180
RandomForest,MobilNet_05,200,34.29854096520760,4792,74.63524130190800,89.4949494949495
RandomForest,MobilNet_05,350,41.84062850729520,4528,73.84960718294050,89.92143658810330
RandomForest,MobilNet_05,500,43.99551066217730,4338,75.98204264870930,90.88664421997760
RandomForest,MobilNet_05,1000,51.44781144781140,3736,79.34904601571270,92.14365881032550
RandomForest,MobilNet_05,1500,55.7351290684624,3393,81.63860830527500,92.92929292929290
RandomTree,MobilNet_05,20,22.49158249158250,6826,61.30190796857460,79.52861952861950
RandomTree,MobilNet_05,50,22.424242424242400,6160,64.84848484848480,83.77104377104380
RandomTree,MobilNet_05,100,25.364758698092000,6020,60.98765432098770,85.05050505050510
RandomTree,MobilNet_05,150,27.40740740740740,5964,64.13019079685750,83.9506172839506
RandomTree,MobilNet_05,200,24.713804713804700,6763,60.13468013468010,80.17957351290680
RandomTree,MobilNet_05,350,27.766554433221100,5923,63.81593714927050,85.8810325476992
RandomTree,MobilNet_05,500,32.278338945005600,5667,68.39506172839510,83.2996632996633
RandomTree,MobilNet_05,1000,37.01459034792370,5293,69.45005611672280,85.85858585858590
RandomTree,MobilNet_05,1500,43.99551066217730,4388,74.32098765432100,90.68462401795740
J48,MobilNet_06,20,28.009259259259300,631,57.870370370370400,79.62962962962960
J48,MobilNet_06,50,52.54629629629630,256,89.81481481481480,98.8425925925926
J48,MobilNet_06,100,65.27777777777780,182,95.60185185185190,98.37962962962960
J48,MobilNet_06,150,59.72222222222220,215,94.21296296296300,98.37962962962960
J48,MobilNet_06,200,64.58333333333330,193,94.44444444444440,98.37962962962960
